ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
15015,CS,1110,1,Lecture,3,Arohi Khargonkar,MoWeFr 10:00am - 10:50am,Gilmer Hall 301,Introduction to Programming,,Open,0,250,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
15175,CS,1110,2,Lecture,3,Arohi Khargonkar,MoWeFr 12:00pm - 12:50pm,Gilmer Hall 301,Introduction to Programming,,Open,0,250,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14689,CS,1110,101,Laboratory,0,Arohi Khargonkar,Th 9:30am - 10:45am,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14691,CS,1110,102,Laboratory,0,Arohi Khargonkar,Th 11:00am - 12:15pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14692,CS,1110,103,Laboratory,0,Arohi Khargonkar,Th 12:30pm - 1:45pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14690,CS,1110,104,Laboratory,0,Arohi Khargonkar,Th 2:00pm - 3:15pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14987,CS,1110,105,Laboratory,0,Arohi Khargonkar,Th 3:30pm - 4:45pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
15176,CS,1110,106,Laboratory,0,Arohi Khargonkar,Th 5:00pm - 6:15pm,Olsson Hall 018,Introduction to Programming,,Wait List,0,0,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
15146,CS,1111,1,Lecture,3,Panagiotis Apostolellis,MoWe 3:30pm - 4:45pm,Physics Bldg 242,Introduction to Programming,,Open,0,90,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students should have some experience with programming. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
14693,CS,1112,1,Lecture,3,Nada Basit,MoWeFr 12:30pm - 1:45pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students must have no previous programming experience. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
