ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
19601,CS,3250,1,Lecture,3,Upsorn Praphamontripong,MoWeFr 11:00am - 11:50am,Thornton Hall E303,Software Testing,,Open,0,90,0,,"An introduction to testing for assuring software quality. Covers concepts and techniques for testing software, including testing at the unit, module, subsystem, and system levels; automatic and manual techniques for generating and validating test data; the testing process; static vs. dynamic analysis; functional testing; inspections; testing in specific application domains; and reliability assessment.Prerequisite: CS 2150 or (CS 2100 and CS 2120) with a grade of C- or better"
15428,CS,3710,1,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,Introduction to Cybersecurity,,Open,0,148,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
15580,CS,3710,2,Lecture,3,Angela Orebaugh,MoWeFr 11:00am - 11:50am,Olsson Hall 120,Introduction to Cybersecurity,,Open,0,148,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
15915,CS,3710,3,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,Introduction to Cybersecurity,,Open,0,150,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
16025,CS,4260,1,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Olsson Hall 009,Internet Scale Applications,,Open,0,80,0,,"A survey of methods for building large-scale internet websites and mobile apps, with a focus on how theory meets practice. Topics covered include performance engineering, scaling, security, and large team software engineering. Results in students building a working scalable online application. Prerequisites: CS 3240 with a grade of C- or better"
19602,CS,4444,1,Lecture,3,Adwait Jog,TuTh 11:00am - 12:15pm,Olsson Hall 009,Introduction to Parallel Computing,,Open,0,80,0,,"Introduces the student to the basics of high-performance parallel computing and application development for massively parallel processors (e.g., GPUs). The course will also introduce the internal architecture of these parallel processors and its impact on performance. Prerequisite: CS 3100 and CS 3130 with a C- or better."
16166,CS,4457,1,Lecture,3,Charles Reiss,TuTh 2:00pm - 3:15pm,Thornton Hall E303,Computer Networks,,Open,0,80,0,,"A first course in communication networks for upper-level undergraduate students. Topics include the design of modern communication networks; point-to-point and broadcast network solutions; advanced issues such as Gigabit networks; ATM networks; and real-time communications. Cross-listed as ECE 4457. Prerequisite: CS 3330 or CS 2501 topic ""COA 2"" or ECE 3430 or ECE 4435 or ECE 3502 topic ""ECR II"" or CS 3130. Must complete CS courses with a grade of C- or better."
16167,CS,4610,1,Lecture,3,Raymond Pettit,MoWeFr 2:00pm - 2:50pm,Olsson Hall 009,Programming Languages,,Open,0,80,0,,Presents the fundamental concepts of programming language design and implementation. Emphasizes language paradigms and implementation issues. Develops working programs in languages representing different language paradigms. Many programs oriented toward language implementation issues. Prerequisite: CS 2150 or (CS 2120 and 3140) with a grade of C- or better
15786,CS,4630,1,Lecture,3,Charles Reiss,TuTh 3:30pm - 4:45pm,Olsson Hall 005,Defense Against the Dark Arts,,Open,0,76,0,,"Viruses, worms, and other malicious software are an ever-increasing threat to computer systems. There is an escalating battle between computer security specialists and the designers of malicious software. This course provides an essential understanding of the techniques used by both sides of the computer security battle. Prerequisite: CS 3710 with a grade of C- or better"
15124,CS,4710,1,Lecture,3,Lu Feng,TuTh 12:30pm - 1:45pm,Olsson Hall 009,Artificial Intelligence,,Open,0,75,0,,"Introduces artificial intelligence. Covers fundamental concepts and techniques and surveys selected application areas. Core material includes state space search, logic, and resolution theorem proving. Application areas may include expert systems, natural language understanding, planning, machine learning, or machine perception. Provides exposure to AI implementation methods, emphasizing programming in Common LISP. Prerequisite: CS 2150 or CS 3100 with a grade of C- or better"
16021,CS,4710,2,Lecture,3,Ferdinando Fioretto,MoWe 3:30pm - 4:45pm,Olsson Hall 009,Artificial Intelligence,,Open,0,75,0,,"Introduces artificial intelligence. Covers fundamental concepts and techniques and surveys selected application areas. Core material includes state space search, logic, and resolution theorem proving. Application areas may include expert systems, natural language understanding, planning, machine learning, or machine perception. Provides exposure to AI implementation methods, emphasizing programming in Common LISP. Prerequisite: CS 2150 or CS 3100 with a grade of C- or better"
